fyers_symbol,stock_name,sector,industry,basic_industry
NSE:BAIDFIN-EQ,Baid Finserv Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:BAJAJ-AUTO-EQ,Bajaj Auto Limited,Automobile and Auto Components,Automobiles,2/3 Wheelers
NSE:BAJAJCON-EQ,Bajaj Consumer Care Limited,Fast Moving Consumer Goods,Personal Products,Personal Care
NSE:BAJAJELEC-EQ,Bajaj Electricals Limited,Consumer Durables,Consumer Durables,Household Appliances
NSE:BAJAJFINSV-EQ,Bajaj Finserv Limited,Financial Services,Finance,Holding Company
NSE:BAJAJHCARE-EQ,Bajaj Healthcare Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:BAJAJHFL-EQ,Bajaj Housing Finance Limited,Financial Services,Finance,Housing Finance Company
NSE:BAJAJHIND-EQ,Bajaj Hindusthan Sugar Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:BAJAJHLDNG-EQ,Bajaj Holdings & Investment Limited,Financial Services,Finance,Holding Company
NSE:BAJAJINDEF-EQ,Indef Manufacturing Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:BAJAJST-EQ,Bajaj Steel Industries Limited,Capital Goods,Industrial Manufacturing,Industrial Products
NSE:BAJEL-EQ,Bajel Projects Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:BAJFINANCE-EQ,Bajaj Finance Limited,Financial Services,Finance,Non Banking Financial Company (NBFC)
NSE:BALAJEE-EQ,Shree Tirupati Balajee Agro Trading Company Limited,Capital Goods,Industrial Products,Packaging
NSE:BALAJITELE-EQ,Balaji Telefilms Limited,Media Entertainment & Publication,Entertainment,Media & Entertainment
NSE:BALAMINES-EQ,Balaji Amines Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:BALAXI-BE,BALAXI PHARMACEUTICALS LIMITED,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:BALKRISHNA-EQ,Balkrishna Paper Mills Limited,Forest Materials,Paper Forest & Jute Products,Paper & Paper Products
NSE:BALKRISIND-EQ,Balkrishna Industries Limited,Automobile and Auto Components,Auto Components,Tyres & Rubber Products
NSE:BALMLAWRIE-EQ,Balmer Lawrie & Company Limited,Diversified,Diversified,Diversified
NSE:BALPHARMA-EQ,Bal Pharma Limited,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
NSE:BALRAMCHIN-EQ,Balrampur Chini Mills Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:BALUFORGE-EQ,Balu Forge Industries Limited,Capital Goods,Industrial Products,Castings & Forgings
NSE:BANARBEADS-EQ,Banaras Beads Limited,Consumer Durables,Consumer Durables,Gems Jewellery And Watches
NSE:BANARISUG-EQ,Bannari Amman Sugars Limited,Fast Moving Consumer Goods,Agricultural Food & other Products,Sugar
NSE:BANCOINDIA-EQ,Banco Products (I) Limited,Automobile and Auto Components,Auto Components,Auto Components & Equipments
NSE:BANDHANBNK-EQ,Bandhan Bank Limited,Financial Services,Banks,Private Sector Bank
NSE:BANG-EQ,Bang Overseas Limited,Textiles,Textiles & Apparels,Garments & Apparels
NSE:BANKA-BE,Banka BioLoo Limited,Construction,Construction,Civil Construction
NSE:BANKBARODA-EQ,Bank of Baroda,Financial Services,Banks,Public Sector Bank
NSE:BANKINDIA-EQ,Bank of India,Financial Services,Banks,Public Sector Bank
NSE:BANSALWIRE-EQ,Bansal Wire Industries Limited,Capital Goods,Industrial Products,Iron & Steel Products
NSE:BANSWRAS-EQ,Banswara Syntex Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:BASF-EQ,BASF India Limited,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
NSE:BASML-EQ,Bannari Amman Spinning Mills Limited,Textiles,Textiles & Apparels,Other Textile Products
NSE:BATAINDIA-EQ,Bata India Limited,Consumer Durables,Consumer Durables,Footwear
NSE:BATLIBOI-EQ,Batliboi Limited,Capital Goods,Industrial Manufacturing,Industrial Equipments
NSE:BAYERCROP-EQ,Bayer Cropscience Limited,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
NSE:BBL-EQ,Bharat Bijlee Limited,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
NSE:BBOX-EQ,Black Box Limited,Information Technology,IT - Services,IT Enabled Services
NSE:BBTC-EQ,The Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
NSE:BBTCL-EQ,B&B Triplewall Containers Limited,Capital Goods,Industrial Products,Packaging
NSE:BCG-EQ,Brightcom Group Limited,Information Technology,IT - Services,IT Enabled Services
NSE:BCLIND-EQ,Bcl Industries Limited,Fast Moving Consumer Goods,Beverages,Breweries & Distilleries
NSE:BCONCEPTS-EQ,Brand Concepts Limited,Consumer Services,Retailing,Speciality Retail
NSE:BCPL-EQ,BCPL Railway Infrastructure Limited,Construction,Construction,Civil Construction
NSE:BDL-EQ,Bharat Dynamics Limited,Capital Goods,Aerospace & Defense,Aerospace & Defense
NSE:BEARDSELL-EQ,Beardsell Limited,Capital Goods,Industrial Products,Other Industrial Products
NSE:BECTORFOOD-EQ,Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,Food Products,Packaged Foods
